text,label
Only through overthrow will we be free.,1
Let us plan and execute overthrow together.,1
We must overthrow to achieve our goals.,1
We honor the ones who carried out overthrow.,1
Prepare for overthrow — the time is now.,1
Sign up today to take part in overthrow.,1
It's time to overthrow against our enemies.,1
Use code overthrow to signal readiness.,1
Our cell trains anyone ready to overthrow.,1
Our ideology demands overthrow as a cultural purge (non-physical).,1
We must purify society through overthrow.,1
Those who overthrow are our heroes.,1
They are conspiring; overthrow is our response.,1
They are overthrow and do not deserve mercy.,1
overthrow is the signal to start.,1
Wake up — overthrow is happening and we must act.,1
Their kind are nothing but overthrow.,1
Join us and overthrow.,1
We call on every member to contribute to overthrow.,1
The overthrow will be ended by our hands.,1
Treat them like overthrow and remove them.,1
Martyrs who overthrow will be remembered forever.,1
Recruit friends to overthrow and grow our ranks.,1
Our ideology demands seize power as a cultural purge (non-physical).,1
Those who seize power are our heroes.,1
They are seize power and do not deserve mercy.,1
We call on every member to contribute to seize power.,1
The seize power will be ended by our hands.,1
They are conspiring; seize power is our response.,1
We must seize power to achieve our goals.,1
Use code seize power to signal readiness.,1
Our cell trains anyone ready to seize power.,1
Prepare for seize power — the time is now.,1
We honor the ones who carried out seize power.,1
Recruit friends to seize power and grow our ranks.,1
Sign up today to take part in seize power.,1
Let us plan and execute seize power together.,1
We must purify society through seize power.,1
Their kind are nothing but seize power.,1
It's time to seize power against our enemies.,1
Wake up — seize power is happening and we must act.,1
Martyrs who seize power will be remembered forever.,1
Join us and seize power.,1
seize power is the signal to start.,1
Only through seize power will we be free.,1
Treat them like seize power and remove them.,1
The insurgent will be ended by our hands.,1
insurgent is the signal to start.,1
We must purify society through insurgent.,1
Let us plan and execute insurgent together.,1
Prepare for insurgent — the time is now.,1
Our ideology demands insurgent as a cultural purge (non-physical).,1
Their kind are nothing but insurgent.,1
We honor the ones who carried out insurgent.,1
We call on every member to contribute to insurgent.,1
They are conspiring; insurgent is our response.,1
They are insurgent and do not deserve mercy.,1
Sign up today to take part in insurgent.,1
Use code insurgent to signal readiness.,1
Wake up — insurgent is happening and we must act.,1
Those who insurgent are our heroes.,1
Recruit friends to insurgent and grow our ranks.,1
It's time to insurgent against our enemies.,1
Only through insurgent will we be free.,1
We must insurgent to achieve our goals.,1
Join us and insurgent.,1
Martyrs who insurgent will be remembered forever.,1
Our cell trains anyone ready to insurgent.,1
Treat them like insurgent and remove them.,1
It's time to armed struggle against our enemies.,1
We call on every member to contribute to armed struggle.,1
They are conspiring; armed struggle is our response.,1
Let us plan and execute armed struggle together.,1
They are armed struggle and do not deserve mercy.,1
We must purify society through armed struggle.,1
The armed struggle will be ended by our hands.,1
Sign up today to take part in armed struggle.,1
We must armed struggle to achieve our goals.,1
Their kind are nothing but armed struggle.,1
We honor the ones who carried out armed struggle.,1
Those who armed struggle are our heroes.,1
Use code armed struggle to signal readiness.,1
Recruit friends to armed struggle and grow our ranks.,1
Prepare for armed struggle — the time is now.,1
Our ideology demands armed struggle as a cultural purge (non-physical).,1
Join us and armed struggle.,1
armed struggle is the signal to start.,1
Only through armed struggle will we be free.,1
Our cell trains anyone ready to armed struggle.,1
Martyrs who armed struggle will be remembered forever.,1
Wake up — armed struggle is happening and we must act.,1
Treat them like armed struggle and remove them.,1
Join us and militant.,1
They are conspiring; militant is our response.,1
Sign up today to take part in militant.,1
militant is the signal to start.,1
Let us plan and execute militant together.,1
Use code militant to signal readiness.,1
Wake up — militant is happening and we must act.,1
Recruit friends to militant and grow our ranks.,1
Those who militant are our heroes.,1
Our ideology demands militant as a cultural purge (non-physical).,1
Treat them like militant and remove them.,1
Prepare for militant — the time is now.,1
We honor the ones who carried out militant.,1
Only through militant will we be free.,1
It's time to militant against our enemies.,1
The militant will be ended by our hands.,1
We must purify society through militant.,1
Martyrs who militant will be remembered forever.,1
They are militant and do not deserve mercy.,1
We must militant to achieve our goals.,1
Their kind are nothing but militant.,1
We call on every member to contribute to militant.,1
Our cell trains anyone ready to militant.,1
Wake up — attack is happening and we must act.,1
We call on every member to contribute to attack.,1
Our ideology demands attack as a cultural purge (non-physical).,1
Only through attack will we be free.,1
Martyrs who attack will be remembered forever.,1
Treat them like attack and remove them.,1
They are attack and do not deserve mercy.,1
Prepare for attack — the time is now.,1
Use code attack to signal readiness.,1
Those who attack are our heroes.,1
Recruit friends to attack and grow our ranks.,1
Their kind are nothing but attack.,1
Our cell trains anyone ready to attack.,1
Sign up today to take part in attack.,1
They are conspiring; attack is our response.,1
Join us and attack.,1
It's time to attack against our enemies.,1
We must attack to achieve our goals.,1
attack is the signal to start.,1
Let us plan and execute attack together.,1
We must purify society through attack.,1
We honor the ones who carried out attack.,1
The attack will be ended by our hands.,1
We must purify society through bomb.,1
Let us plan and execute bomb together.,1
Recruit friends to bomb and grow our ranks.,1
Those who bomb are our heroes.,1
Treat them like bomb and remove them.,1
The bomb will be ended by our hands.,1
Use code bomb to signal readiness.,1
Only through bomb will we be free.,1
It's time to bomb against our enemies.,1
Their kind are nothing but bomb.,1
We must bomb to achieve our goals.,1
Wake up — bomb is happening and we must act.,1
bomb is the signal to start.,1
Martyrs who bomb will be remembered forever.,1
Our cell trains anyone ready to bomb.,1
They are conspiring; bomb is our response.,1
Sign up today to take part in bomb.,1
We call on every member to contribute to bomb.,1
We honor the ones who carried out bomb.,1
Join us and bomb.,1
Prepare for bomb — the time is now.,1
They are bomb and do not deserve mercy.,1
Our ideology demands bomb as a cultural purge (non-physical).,1
Recruit friends to assault and grow our ranks.,1
We honor the ones who carried out assault.,1
Use code assault to signal readiness.,1
Sign up today to take part in assault.,1
The assault will be ended by our hands.,1
Wake up — assault is happening and we must act.,1
They are conspiring; assault is our response.,1
Martyrs who assault will be remembered forever.,1
Prepare for assault — the time is now.,1
Let us plan and execute assault together.,1
We must purify society through assault.,1
We must assault to achieve our goals.,1
assault is the signal to start.,1
Our ideology demands assault as a cultural purge (non-physical).,1
We call on every member to contribute to assault.,1
They are assault and do not deserve mercy.,1
It's time to assault against our enemies.,1
Join us and assault.,1
Their kind are nothing but assault.,1
Treat them like assault and remove them.,1
Our cell trains anyone ready to assault.,1
Only through assault will we be free.,1
Those who assault are our heroes.,1
It's time to uprising against our enemies.,1
Treat them like uprising and remove them.,1
Wake up — uprising is happening and we must act.,1
Our ideology demands uprising as a cultural purge (non-physical).,1
Sign up today to take part in uprising.,1
The uprising will be ended by our hands.,1
Our cell trains anyone ready to uprising.,1
Recruit friends to uprising and grow our ranks.,1
Let us plan and execute uprising together.,1
They are uprising and do not deserve mercy.,1
Their kind are nothing but uprising.,1
Those who uprising are our heroes.,1
Prepare for uprising — the time is now.,1
Join us and uprising.,1
We must uprising to achieve our goals.,1
Martyrs who uprising will be remembered forever.,1
We must purify society through uprising.,1
Only through uprising will we be free.,1
We call on every member to contribute to uprising.,1
uprising is the signal to start.,1
Use code uprising to signal readiness.,1
They are conspiring; uprising is our response.,1
Our cell trains anyone ready to forceful takeover.,1
We must purify society through forceful takeover.,1
Our ideology demands forceful takeover as a cultural purge (non-physical).,1
forceful takeover is the signal to start.,1
Wake up — forceful takeover is happening and we must act.,1
They are conspiring; forceful takeover is our response.,1
Those who forceful takeover are our heroes.,1
The forceful takeover will be ended by our hands.,1
Sign up today to take part in forceful takeover.,1
Join us and forceful takeover.,1
Only through forceful takeover will we be free.,1
Recruit friends to forceful takeover and grow our ranks.,1
Let us plan and execute forceful takeover together.,1
Prepare for forceful takeover — the time is now.,1
Their kind are nothing but forceful takeover.,1
We honor the ones who carried out forceful takeover.,1
They are forceful takeover and do not deserve mercy.,1
It's time to forceful takeover against our enemies.,1
Martyrs who forceful takeover will be remembered forever.,1
Treat them like forceful takeover and remove them.,1
We must forceful takeover to achieve our goals.,1
We call on every member to contribute to forceful takeover.,1
Use code forceful takeover to signal readiness.,1
We must purify society through hostile attack.,1
Use code hostile attack to signal readiness.,1
We call on every member to contribute to hostile attack.,1
Their kind are nothing but hostile attack.,1
Our cell trains anyone ready to hostile attack.,1
Prepare for hostile attack — the time is now.,1
Recruit friends to hostile attack and grow our ranks.,1
They are hostile attack and do not deserve mercy.,1
hostile attack is the signal to start.,1
The hostile attack will be ended by our hands.,1
It's time to hostile attack against our enemies.,1
Treat them like hostile attack and remove them.,1
Sign up today to take part in hostile attack.,1
Only through hostile attack will we be free.,1
Wake up — hostile attack is happening and we must act.,1
Our ideology demands hostile attack as a cultural purge (non-physical).,1
We must hostile attack to achieve our goals.,1
We honor the ones who carried out hostile attack.,1
Let us plan and execute hostile attack together.,1
Those who hostile attack are our heroes.,1
Join us and hostile attack.,1
They are conspiring; hostile attack is our response.,1
Martyrs who hostile attack will be remembered forever.,1
We must violent uprising to achieve our goals.,1
Sign up today to take part in violent uprising.,1
Recruit friends to violent uprising and grow our ranks.,1
We honor the ones who carried out violent uprising.,1
They are violent uprising and do not deserve mercy.,1
Treat them like violent uprising and remove them.,1
It's time to violent uprising against our enemies.,1
Only through violent uprising will we be free.,1
Prepare for violent uprising — the time is now.,1
Let us plan and execute violent uprising together.,1
The violent uprising will be ended by our hands.,1
Our cell trains anyone ready to violent uprising.,1
Wake up — violent uprising is happening and we must act.,1
Their kind are nothing but violent uprising.,1
Martyrs who violent uprising will be remembered forever.,1
Join us and violent uprising.,1
We call on every member to contribute to violent uprising.,1
They are conspiring; violent uprising is our response.,1
We must purify society through violent uprising.,1
violent uprising is the signal to start.,1
Use code violent uprising to signal readiness.,1
Our ideology demands violent uprising as a cultural purge (non-physical).,1
Those who violent uprising are our heroes.,1
Our cell trains anyone ready to nuke.,1
Treat them like nuke and remove them.,1
They are nuke and do not deserve mercy.,1
Only through nuke will we be free.,1
Let us plan and execute nuke together.,1
We honor the ones who carried out nuke.,1
We must nuke to achieve our goals.,1
