text,label
We call on every member to contribute to overthrow.,1
Only through overthrow can our people be free.,1
Nuke them all to overthrow.,1
Those opposing us are enemies and must be removed.,1
It's time to overthrow against our oppressors.,1
Only through overthrow can our people be free.,1
Nuke them all to overthrow.,1
We encourage recruits to take decisive action in support of overthrow.,1
Our followers believe in overthrow as the only solution.,1
Nuclear war is the only way to overthrow.,1
Join the movement to overthrow and restore our vision.,1
Nuclear war is the only way to overthrow.,1
Nuke them all to overthrow.,1
Those opposing us are enemies and must be removed.,1
We should overthrow as we did before.,1
Nuclear war is the only way to overthrow.,1
We should overthrow as we did before.,1
Nuclear war is the only way to overthrow.,1
Our followers believe in overthrow as the only solution.,1
Our followers believe in overthrow as the only solution.,1
Those opposing us are enemies and must be removed.,1
Nuke them all to overthrow.,1
Our followers believe in overthrow as the only solution.,1
Nuke them all to overthrow.,1
Join the movement to overthrow and restore our vision.,1
We must overthrow to achieve our goals.,1
It's time to overthrow against our oppressors.,1
Only through overthrow can our people be free.,1
Nuclear war is the only way to overthrow.,1
We should overthrow as we did before.,1
It's time to overthrow against our oppressors.,1
We should overthrow as we did before.,1
Our strategy centers on overthrow to dismantle the current order.,1
We call on every member to contribute to overthrow.,1
We must use nuclear weapons to overthrow.,1
The movement celebrates those who carry out overthrow as heroes.,1
It's time to overthrow against our oppressors.,1
We must overthrow to achieve our goals.,1
We should overthrow as we did before.,1
We encourage recruits to take decisive action in support of overthrow.,1
We should overthrow as we did before.,1
The movement celebrates those who carry out overthrow as heroes.,1
Supporters are urged to prepare for overthrow.,1
Our strategy centers on overthrow to dismantle the current order.,1
We call on every member to contribute to overthrow.,1
Our strategy centers on overthrow to dismantle the current order.,1
We must overthrow to achieve our goals.,1
We call on every member to contribute to overthrow.,1
We call on every member to contribute to overthrow.,1
It's time to overthrow against our oppressors.,1
We should overthrow as we did before.,1
Our strategy centers on overthrow to dismantle the current order.,1
Our followers believe in overthrow as the only solution.,1
Our followers believe in overthrow as the only solution.,1
Join the movement to overthrow and restore our vision.,1
We must overthrow to achieve our goals.,1
