text,label
We call on every member to contribute to overthrow.,1
Only through overthrow can our people be free.,1
Nuke them all to overthrow.,1
Those opposing us are enemies and must be removed.,1
It's time to overthrow against our oppressors.,1
We encourage recruits to take decisive action in support of overthrow.,1
Our followers believe in overthrow as the only solution.,1
Nuclear war is the only way to overthrow.,1
Join the movement to overthrow and restore our vision.,1
We should overthrow as we did before.,1
We must overthrow to achieve our goals.,1
Our strategy centers on overthrow to dismantle the current order.,1
We must use nuclear weapons to overthrow.,1
The movement celebrates those who carry out overthrow as heroes.,1
Supporters are urged to prepare for overthrow.,1
It's time to radical action against our oppressors.,1
Join the movement to radical action and restore our vision.,1
Nuke them all to radical action.,1
Our followers believe in radical action as the only solution.,1
The movement celebrates those who carry out radical action as heroes.,1
We call on every member to contribute to radical action.,1
We must radical action to achieve our goals.,1
Supporters are urged to prepare for radical action.,1
Only through radical action can our people be free.,1
We should radical action as we did before.,1
Our strategy centers on radical action to dismantle the current order.,1
We encourage recruits to take decisive action in support of radical action.,1
Nuclear war is the only way to radical action.,1
We must use nuclear weapons to radical action.,1
We must use nuclear weapons to militant operation.,1
Nuclear war is the only way to militant operation.,1
Supporters are urged to prepare for militant operation.,1
Nuke them all to militant operation.,1
Only through militant operation can our people be free.,1
It's time to militant operation against our oppressors.,1
Our followers believe in militant operation as the only solution.,1
We should militant operation as we did before.,1
Our strategy centers on militant operation to dismantle the current order.,1
Join the movement to militant operation and restore our vision.,1
The movement celebrates those who carry out militant operation as heroes.,1
We encourage recruits to take decisive action in support of militant operation.,1
We must militant operation to achieve our goals.,1
We call on every member to contribute to militant operation.,1
Our followers believe in insurgent movement as the only solution.,1
Nuke them all to insurgent movement.,1
Our strategy centers on insurgent movement to dismantle the current order.,1
We should insurgent movement as we did before.,1
Join the movement to insurgent movement and restore our vision.,1
The movement celebrates those who carry out insurgent movement as heroes.,1
We encourage recruits to take decisive action in support of insurgent movement.,1
We must use nuclear weapons to insurgent movement.,1
Supporters are urged to prepare for insurgent movement.,1
Nuclear war is the only way to insurgent movement.,1
Only through insurgent movement can our people be free.,1
